IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
69,15882.39529,6855.802333,-5.29539608,-5.294828458,-461.7249466,-330.8960325,509.0024323,1783.108423,327.9931124,0.233760948,0.552822844,1.256490532,0.000721247,4.944726242,1.625440853,126.295384,126.295384,6850.857607,6849.232166,1369.846433,5479.385733,476.4785736,0.020964476,1.083652621,73.24770272
70,16227.62776,6994.906312,-5.119768315,-5.11926597,-468.9472544,-338.1175661,504.9872568,1782.791913,325.1032637,0.191700005,0.512335084,1.238898839,0.00061947,4.333133796,1.532242997,123.1379994,123.1379994,6990.573179,6989.040936,1397.808187,5591.232748,486.2032088,0.02081224,1.084906752,68.07182207
71,16571.29285,7133.241508,-4.94880343,-4.948358855,-475.9300262,-345.0996528,501.126939,1782.455639,322.3177694,0.150944745,0.47278594,1.220734746,0.000527523,3.762946443,1.444049752,120.0595494,120.0595494,7129.478562,7128.034512,1425.606902,5702.42761,495.8712696,0.020663979,1.086118043,63.25907897
72,16913.21723,7270.744959,-4.782479303,-4.782085854,-482.6796217,-351.848642,497.4169999,1782.100358,319.6339997,0.111480179,0.434179744,1.202036025,0.000444888,3.234670371,1.360628826,117.0580607,117.0580607,7267.510289,7266.14966,1453.229932,5812.919728,505.4783422,0.020519593,1.08728824,58.78428691
73,17253.2353,7407.35662,-4.620764332,-4.62041613,-489.2023704,-358.370854,493.8530119,1781.726812,317.049322,0.073289982,0.396518966,1.182839618,0.000371056,2.748547115,1.28175495,114.1316092,114.1316092,7404.608073,7403.326318,1480.665264,5922.661054,515.0202354,0.020378981,1.088419005,54.62397264
74,17591.18923,7543.019355,-4.463618333,-4.463310173,-495.5045585,-364.6725672,490.4306043,1781.33572,314.561108,0.03635661,0.359804322,1.163181602,0.000305524,2.304570382,1.207210078,111.2783189,111.2783189,7540.714784,7539.507574,1507.901515,6031.606059,524.4929784,0.020242048,1.089511922,50.7562637
75,17926.9289,7677.678918,-4.310993384,-4.310720663,-501.5924177,-370.7600061,487.1454701,1780.927784,312.1667396,0.000661401,0.324034881,1.14309717,0.000247797,1.902503543,1.136783527,108.496361,108.496361,7675.776415,7674.639631,1534.927926,6139.711705,533.8928183,0.020108697,1.090568497,47.16078277
76,18260.31188,7811.283937,-4.162834636,-4.162593278,-507.472114,-376.6393305,483.9933702,1780.503685,309.8636141,-0.033815317,0.289208165,1.122620613,0.000197394,1.541897586,1.070272066,105.7839519,105.7839519,7809.742039,7808.671767,1561.734353,6246.937414,543.2162172,0.019978835,1.091590167,43.81854859
77,18591.20333,7943.785874,-4.019081056,-4.018867455,-513.149739,-382.3166263,480.9701384,1780.064085,307.6491498,-0.067094123,0.25532025,1.101785302,0.000153845,1.222109314,1.00747995,103.1393531,103.1393531,7942.563764,7941.556284,1588.311257,6353.245028,552.4598485,0.019852372,1.0925783,40.71188301
78,18919.47594,8075.138996,-3.87966615,-3.879477112,-518.6313007,-387.7978967,478.0716848,1779.609629,305.5207899,-0.099196403,0.222365858,1.080623675,0.000116694,0.942319599,0.948218923,100.5608693,100.5608693,8074.196676,8073.248457,1614.649691,6458.598766,561.6205934,0.019729218,1.0935342,37.82432393
79,19245.0098,8205.300331,-3.744518617,-3.744351318,-523.9227167,-393.0890548,475.2939993,1779.140939,303.4760067,-0.130144256,0.190338457,1.05916723,8.55E-05,0.701551525,0.892308176,98.04684758,98.04684758,8204.598779,8203.706471,1640.741294,6562.965177,570.6955363,0.019609286,1.094459113,35.14054376
