IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
26,3669.056913895528,1499.5600108835715,3.0032573858246283e-07,0.10851745202668132,804.073583300272,933.6222306626271,1305.7442645354256,1792.1960239780215,786.6819421491807,5.237118527631632,4.007466150433129,1.4056646238944484,0.03790109247460688,56.83496264372074,8.978909812568782,284.7624331530212,284.7624331530212,1442.7250482398508,1433.746138427282,350.9295806164731,1082.8165578108087,95.14766005157834,0.032558157189456496,0.9361284950136145,1537.8244040310976
27,3921.189320168536,1594.523017420901,2.987298376514667e-07,0.09603797798517198,804.0735837098816,933.770235916346,1303.392618706133,1795.0770220030515,786.3005952071625,5.227544803387823,4.031551536108787,1.4707096620579154,0.03835804238039065,61.1627814787393,8.707917392259356,277.6433723241958,277.6433723241958,1533.3602359421616,1524.6523185499022,374.25515146558035,1150.3971670843218,100.94446834443326,0.03199608650610581,0.9436419554340156,1440.9762297436694
28,4186.698838994221,1693.0704909366073,2.968155418600356e-07,0.08499364295651274,804.0735841173146,933.9012206108157,1301.2314058164704,1797.951129602381,785.7186851919653,5.218731101599241,4.052238912632932,1.5347307089091873,0.0387527108839334,65.61107124138553,8.435812369693384,270.7022880160908,270.7022880160908,1627.4594196952216,1619.0236073255282,399.34962299795524,1219.673984327573,106.89355445265048,0.03170318478919451,0.9507288056563423,1349.282785355225
29,4468.951912427474,1795.570486196462,-16.08693769326785,-16.01171858193309,804.0735845221367,934.0171421096653,1299.2004209149688,1800.8169529297722,784.9997682649251,5.210435133834774,4.070006844751497,1.597668414002281,0.03909329549052473,70.19476759094346,13.117099895297503,353.3348997528926,353.3348997528926,1725.3757186055186,1712.258618710221,420.61113131863567,1291.6474873915854,113.08250266722675,0.03141945155901666,0.9575188030748532,1262.7569776280563
30,4741.927071362477,1898.8527527342376,-15.929899143819892,-15.86333023028863,782.1328620817823,912.1790098375252,1275.318192712958,1803.6735450742644,784.1872720503039,5.1118986613528055,4.076150822407792,1.6594768747710114,0.039211413043757096,74.45669959673735,12.664326195343586,344.50152725907026,344.50152725907026,1824.3960531375003,1811.7317269421567,445.35270260933464,1366.3790243328222,119.51637028012914,0.031102269115260282,0.9640288092111591,1181.210956148875
31,5026.824029415503,2005.4431495846322,-15.758880769251943,-15.699967280776777,760.4063220602058,890.5432621148184,1254.344967186556,1806.5202645056008,780.6780304226629,5.023830642324703,4.073203005547801,1.719893723461931,0.039154719229592586,78.52256345289612,12.215156832768864,335.8889890775934,335.8889890775934,1926.9205861317362,1914.7054292989674,470.9793237006803,1443.7261055982872,126.18239772257559,0.030772909278681013,0.9702584874105755,1104.4267975030352
32,5323.185939632963,2115.241533219237,-15.57435274026938,-15.522214302968857,738.9130313220007,869.1303225611131,1235.4235255333058,1809.338248470563,775.3685485572456,4.943105399015082,4.063054507134026,1.7787264555140776,0.03895985214994341,82.4094973956411,11.770320809894509,327.4917643506537,327.4917643506537,2032.832035823596,2021.0617150137016,497.4505894145078,1523.6111255991937,133.0735428402962,0.03043420039113751,0.9762159316317572,1032.1945152389849
33,5630.5410125664075,2228.142927624655,-15.37691297498458,-15.330770457973617,717.6714154732973,847.9598175106919,1217.9744329361079,1812.114937388286,768.8704471862993,4.867558278450088,4.047134769413667,1.8358346568045762,0.038655147626640955,86.129193800587,11.33057801853862,319.3044702418873,319.3044702418873,2142.013733824068,2130.683155805529,524.7348229321947,1605.9483328733345,140.18207560777805,0.030085250916611503,0.981909995568616,964.3036102919054
34,5948.452277171312,2344.043720536449,-15.167298233638205,-15.126462106083503,696.6990846290739,827.0504197229482,1201.6067108445461,1814.8420714242773,761.6016374541266,4.795702711334608,4.026539353294759,1.8911171596198035,0.03826272522617006,89.68950079701551,10.896718986450638,311.3218584858401,311.3218584858401,2254.3542197394336,2243.457500752983,552.8321284999429,1690.62537225304,147.4979641877003,0.029739539359921803,0.9873488547478892,900.5437173446974
35,6276.662227646602,2462.858826396798,-14.94645102050826,-14.910311047622349,676.0126440485526,806.4196748974115,1186.0570816586726,1817.5143282236718,753.8482650150688,4.726526185285729,4.002120728199939,1.9445027144616773,0.037800049962486766,93.09618668835049,10.46960323808149,303.5388120236941,303.5388120236941,2369.7626397084478,2359.293036470366,581.7066252298727,1777.5864112404934,155.01612500220176,0.02939286041830892,0.9925450186313505,840.7108757367416
36,6614.839404952406,2584.491724506934,-14.71528571295491,-14.68330183695088,655.6274135241279,786.0837351161481,1171.148552021322,1820.1283962490543,745.8067868457737,4.659344811728449,3.974552725100436,1.9959431648051338,0.03728108370046379,96.35265230449902,10.049985957857027,295.95034172310176,295.95034172310176,2488.1390722024353,2478.089086244578,611.3483638503677,1866.7407223942105,162.7284399863053,0.02905793405344101,0.9975088439929413,784.60250531102
